,Gene Name,MeanLN_INS,P-valueLN_INSvsCON
1933,PSMD2,0.910607587,0.23
1934,PSMD3,0.855791784,0.75
1940,PSME1,0.983767413,0.17
1941,PSME2,0.974603237,0.96
1942,PSME3,1.091638714,0.95
1947,PTBP1,0.900718671,0.19
1952,PTGFRN,0.859319518,0.9
1957,PTPN12,0.78625635,0.1
1959,PTPN21,0.928185101,0.26
1962,PUF60,0.883759829,0.35
1963,PUM1,0.946211143,0.56
1965,PURA,1.062667145,0.89
1968,PWP1,0.901562472,0.28
1971,PXN,0.770683816,0.03
1974,PYCRL,1.082342812,0.73
1978,RAB10,1.03622624,0.58
1979,RAB11B,1.013610482,0.53
1980,RAB12,0.856672459,0.33
1981,RAB13,0.836607864,0.41
1982,RAB14,0.934795114,0.73
1983,RAB18,1.050920409,0.53
1984,RAB1A,0.898915089,0.44
1985,RAB1B,0.868653819,0.47
1986,RAB21,0.942405934,0.46
1987,RAB22A,0.609654956,0.87
1990,RAB2A,0.970102925,0.62
1994,RAB34,1.188306267,0.4
1999,RAB5A,0.898697869,0.22
2000,RAB5B,1.026418224,0.31
2001,RAB5C,0.84122484,0.03
2002,RAB7A,1.047720067,0.55
2003,RAB8A,0.840891967,0.07
2007,"RAC1,RAC2,RAC3",0.923517907,0.27
2009,RAD23B,0.632350004,0.34
2013,RAI14,0.740118112,0.21
2020,RANBP2,1.048294288,0.77
2021,RANGAP1,0.989030613,0.94
2022,RAP1B,0.859468417,0.95
2025,RAPGEF1,1.152536159,0.99
2026,RAPH1,0.920374621,0.46
2030,RASAL2,1.130814632,0.46
2031,RASSF4,0.826669269,0.27
2032,RAVER1,1.055664305,0.97
2037,RBM14,0.68553325,0.05
2040,"RBM24,RBM38",1.013652479,0.93
2041,RBM25,0.767504577,0.34
2043,RBM28,0.726713446,0.04
2044,RBM3,0.70227482,0.02
2051,"RBMX,RBMXL1",0.927883766,0.47
2054,RBX1,1.088219845,0.55
2058,RCC2,0.758414148,0.12
2062,RDX,0.808349342,0.24
2063,RECQL,0.797243324,0.06
2064,REEP1,0.93473882,0.26
2078,RHOA,0.902223461,0.54
2080,RHOG,0.911760971,0.6
2081,RICTOR,1.069323296,0.87
2082,RIN1,1.963073937,0.16
2090,RNF114,0.818898843,0.3
2093,RNF213,0.749940361,0.23
2094,RNF214,0.668700912,0.01
2098,RNH1,0.879908203,0.29
2100,ROCK1,0.754376862,0.22
2101,ROCK2,0.915805774,0.26
2106,RPAP3,0.723740603,0.04
2108,RPL10,0.738853962,0.06
2109,RPL10A,0.79216247,0.01
2110,RPL12,0.769225216,0.03
2111,RPL13,0.767396951,0.01
2112,"RPL13A,RPL13A,RPL13AP3",0.551189113,0.01
2113,RPL14,0.662522039,0.01
2114,RPL15,0.719404618,0.12
2115,"RPL17,RPL17-C18ORF32",0.779494734,0.02
2116,RPL18,0.579701574,0.04
2117,RPL18A,0.758348601,0.02
2118,RPL19,0.846359751,0.04
2119,RPL21,0.817700209,0.07
2120,RPL22,0.814342826,0.01
2122,RPL23,0.926555438,0.04
2123,RPL23A,0.78815787,0.03
2124,RPL24,0.758726509,0.01
2125,RPL26,0.844016226,0.03
2127,RPL27,0.812703926,0.04
2128,RPL27A,0.921634261,0.76
2131,RPL3,0.729225949,0.01
2132,RPL30,0.732465366,0.01
2133,RPL31,0.776494699,0.02
2134,RPL32,0.651958362,0.01
2135,RPL34,0.60473809,0.01
2136,RPL35,0.788792025,0.03
2137,RPL35A,0.871698882,0.03
2138,RPL36,0.750190629,0.02
2139,"RPL36A,RPL36A-HNRNPH2",0.64343989,0.04
2141,RPL37A,0.721564307,0.01
2142,RPL38,0.82732859,0.14
2143,RPL4,0.759773548,0.05
2144,RPL5,0.786775294,0.02
2145,RPL6,0.735113263,0.02
2146,RPL7,0.750642856,0.01
2147,RPL7A,0.759425634,0.02
2149,RPL8,0.803966667,0.05
2150,RPL9,0.788740389,0.68
2151,"RPLP0,RPLP0P6",0.761958303,0.03
2152,RPLP1,0.72914113,0.04
2153,RPLP2,0.774212943,0.06
2163,"RPS10,RPS10-NUDT3",0.8082738,0.01
2164,RPS11,0.812813413,0.02
2165,RPS12,0.82616009,0.36
2166,RPS13,0.758973857,0.01
2167,RPS14,0.78502688,0.03
2168,RPS15,0.826633854,0.02
2169,RPS15A,0.795662356,0.05
2170,RPS16,0.802542772,0.01
2171,RPS17,0.770827712,0.01
2172,RPS18,0.823465989,0.02
2173,RPS19,0.799100452,0.03
2175,RPS2,0.821882191,0.01
2176,RPS20,0.76411986,0.01
2178,RPS23,0.823934347,0.15
2179,RPS24,0.763524839,0.01
2180,RPS25,0.796607393,0.02
2181,"RPS26,RPS26P11",0.686530331,0.01
2183,"RPS27A,UBA52,UBB,UBC",0.820132912,0.01
2184,RPS27L,0.769432233,0.03
2185,RPS28,0.701016437,0.02
2186,RPS29,0.785944204,0.15
2190,RPS4Y1,0.795395055,0.04
2191,RPS5,0.733005296,0.06
2192,RPS6,0.754842058,0.01
2193,RPS7,0.796486441,0.06
2195,RPS9,0.81467738,0.06
2196,RPSA,0.987582834,0.97
2197,RQCD1,1.145700845,0.94
2198,RRAD,1.018384684,0.77
2202,RRBP1,0.587457122,0.02
2206,RRP12,0.745660332,0.06
2208,RRP1B,1.413485887,0.83
2213,RSL1D1,0.900942537,0.24
2214,RSU1,0.810994555,0.02
2215,RTCA,0.91976618,0.42
2221,RTN4,0.823412436,0.22
2223,RUVBL1,1.164546296,0.96
2224,RUVBL2,0.790825136,0.01
2228,S100A10,0.722220589,0.88
2231,S100A16,0.976909206,0.66
2241,SACS,1.10213825,0.6
2243,SAMD4A,0.718376251,0.04
2244,SAMD4B,0.546281845,0.05
2247,SAMHD1,0.645250608,0.01
2248,SAR1A,0.846156794,0.27
2250,SARS,0.809836465,0.08
2252,SART1,0.665079569,0.06
2254,SASH1,1.2529571,0.39
2255,SBDS,0.779646601,0.02
2256,SBF1,1.330109921,0.63
2260,SCAF4,0.709144361,0.06
2267,SCFD1,1.002975208,0.58
2273,SCYL2,1.144422638,0.37
2278,SEC13,0.806099318,0.01
2279,SEC14L1,0.945410321,0.05
2280,SEC16A,1.60064423,0.35
2282,SEC23A,0.743868443,0.66
2289,SEC31A,0.842911353,0.06
2293,11-Sep,0.732029022,0.12
2294,2-Sep,1.114389912,0.67
2297,7-Sep,1.05035206,0.39
2299,9-Sep,1.033828879,0.43
2309,SERPINE2,0.789968412,0.21
2310,SERPINH1,0.975103063,0.66
2313,SETD3,0.792617083,0.15
2315,SF1,0.71438455,0.01
2316,SF3A1,0.682976906,0.03
2318,SF3A3,1.763996202,0.65
2319,SF3B1,1.223393802,0.85
2320,SF3B2,0.929418857,0.63
2321,SF3B3,0.715025436,0.69
2326,SFPQ,0.773220903,0.14
2328,SGTA,0.824104191,0.36
2331,SH3GL1,0.773781365,0.38
2332,SH3GLB1,0.876684171,0.17
2334,SH3KBP1,0.920956104,0.13
2335,SH3PXD2A,0.858279156,0.03
2344,SIRT2,0.889472435,0.14
2347,SKP1,0.951794274,0.52
2348,SLAIN2,0.741932735,0.16
2354,SLC3A2,1.278126125,0.65
2356,SLC4A1AP,1.270629019,0.94
2364,SMAD1,0.942921507,0.52
2374,SMC3,0.923606425,0.36
2376,SMEK1,0.922217643,0.31
2377,SMEK2,1.025535534,0.84
2379,SMG8,0.67247209,0.02
2380,SMG9,0.918170742,0.07
2381,"SMN1,SMN2",0.842461476,0.03
2383,SMTN,0.890332273,0.02
2390,SND1,0.797803266,0.04
2394,SNRPA,1.169057385,0.65
2395,SNRPA1,0.954669453,0.66
2396,"SNRPB,SNRPN",0.869121809,0.1
2397,SNRPB2,1.090271486,0.51
2398,SNRPD1,0.783039518,0.82
2399,SNRPD2,0.849702563,0.54
2400,SNRPD3,0.806408429,0.01
2409,SNX3,0.856119011,0.04
2416,SORBS1,0.940774328,0.33
2422,SPARC,0.89655437,0.92
2425,SPATA5L1,1.204949635,0.64
2426,SPATS2,1.148616161,0.13
2430,SPG20,0.883420139,0.18
2437,SPTBN1,0.990398318,0.82
2438,SQSTM1,0.791476461,0.73
2440,SRGAP1,0.855955988,0.01
2441,SRGAP2,0.873906119,0.02
2445,SRP14,0.721896643,0.07
2447,SRP54,0.846862867,0.03
2448,SRP68,1.274680708,0.88
2450,SRPK1,0.696712109,0.09
2454,SRR,0.992797423,0.53
2458,SRSF2,0.789132644,0.02
2461,SRSF5,0.684721462,0.02
2465,SSB,0.687767099,0.05
2471,"ST13,ST13P4,ST13P5",0.805926385,0.14
2475,STARD13,0.660766251,0.01
2476,STAT1,0.724551106,0.1
2477,STAT2,0.589646855,0.08
2478,STAT3,0.796902886,0.99
2482,STAU2,0.766067086,0.31
2484,STK10,0.804566064,0.12
2486,STK25,0.784937338,0.9
2492,STRAP,0.813512858,0.1
2494,STRIP1,0.88131454,0.08
2495,STRIP2,0.954441327,0.39
2496,STRN,0.90068704,0.11
2497,STRN4,0.894332503,0.13
2503,STXBP5,0.983358967,0.52
2504,SUB1,0.716591828,0.02
2519,SYNCRIP,0.95190171,0.3
2522,SYNJ2,1.509268496,0.59
2523,SYNPO2,0.781778814,0.05
2524,SYNPO2L,0.734524439,0.01
2530,TACC1,1.069983814,0.55
2535,TAGLN,0.723391672,0.12
2536,TAGLN2,0.844453113,0.34
2541,TAOK1,1.293481585,0.4
2543,TAOK3,1.371545382,0.65
2544,"TARDBP,TDP43",0.769553271,0.14
2545,TARS,0.623998174,0.36
2547,TATDN3,1.087860192,0.61
2548,TBC1D10B,0.963653881,0.79
2551,TBC1D5,1.006518465,0.11
2552,TBC1D7,0.840948767,0.42
2559,TBK1,0.929748294,0.21
2566,TCEB1,0.524381324,0.6
2567,TCEB2,0.846812191,0.34
2569,TCERG1,0.673663145,0.04
2572,TCP1,0.897808348,0.34
2573,TDRD3,0.886873483,0.28
2580,TFG,0.640170994,0.24
2581,TFRC,0.692776799,0.53
2584,TGM2,0.816732838,0.17
2587,THBS1,0.978583216,0.03
2590,THY1,1.018235553,0.36
2591,THYN1,0.619797014,0.18
2594,TIMM44,1.204587276,0.02
2599,TJP1,0.799403384,0.01
2604,TLN1,0.985355247,0.85
2612,"TMEM189-UBE2V1,UBE2V1",0.723204118,0.16
2613,TMEM263,0.974737523,0.48
2615,TMOD1,1.123286151,0.6
2618,TNFAIP2,0.672830553,0.06
2620,TNKS1BP1,0.794310822,0.1
2622,TNNC1,0.979199826,0.78
2623,TNNI1,0.669240324,0.08
2624,TNNI2,0.619578421,0.01
2625,TNNT1,0.852458515,0.43
2626,TNNT3,0.751231243,0.01
2627,TNPO1,0.988611471,0.48
2631,TNS3,0.993643023,0.63
2636,TOMM34,0.906147428,0.17
2637,TOP1,0.75766232,0.05
2638,TOP2B,0.486842461,0.03
2643,TP53I3,0.686247913,0.08
2646,TPD52L1,0.955760216,0.62
2647,TPD52L2,1.086093275,0.57
2649,TPM1,0.492220296,0.67
2650,TPP1,0.811857552,0.95
2653,TPRG1L,1.028382418,0.42
2656,TRAFD1,1.19820523,0.62
2663,TRIM21,0.940831181,0.97
2665,TRIM25,0.862741161,0.01
2666,TRIM28,0.693874739,0.01
2670,TRIM38,0.548916946,0.01
2673,TRIM54,0.945596872,0.85
2674,TRIM55,0.723078178,0.06
2676,TRIM72,0.950153671,0.88
2677,TRIO,0.978891365,0.25
2679,TRIP10,0.751738134,0.01
2680,TRIP11,0.975106259,0.46
2681,TRIP12,0.870579118,0.12
2683,TRIP4,0.909149295,0.3
2684,TRIP6,0.653354026,0.08
2686,TRMT1L,0.717127118,0.01
2689,TROVE2,0.830985867,0.02
2692,TSC1,0.941509056,0.28
2693,TSC2,0.77296154,0.02
2695,TSG101,0.947184326,0.29
2708,TTC37,0.649886431,0.01
2714,TTN,1.013200979,0.47
2717,TUBA1C,0.763869133,0.19
2719,TUBB,0.883564029,0.5
2720,TUBB3,1.012701583,0.97
2721,TUBB6,0.746894886,0.1
2722,TUBB8,1.017203412,0.37
2723,"TUBG1,TUBG2",1.080245122,0.58
2724,TUBGCP2,0.720001086,0.39
2728,TUFM,0.754694796,0.5
2733,TXLNB,0.832839715,0.06
2738,U2AF2,0.993774235,0.96
2739,UACA,0.834021835,0.85
2740,UBA1,0.782668597,0.5
2741,UBA2,1.845448384,0.21
2744,UBAP2,0.803351778,0.23
2745,UBAP2L,0.76566511,0.01
2750,UBE2K,0.975414578,0.78
2751,UBE2L3,0.898052659,0.61
2753,"UBE2N,UBE2NL",1.009369537,0.65
2757,UBL4A,0.987866256,0.25
2759,UBQLN2,0.802883845,0.8
2767,UFD1L,0.869986862,0.08
2769,UGDH,1.265003619,0.97
2777,UNC45B,0.743495892,0.11
2783,URI1,0.684439213,0.03
2784,USO1,1.161978193,0.45
2791,USP5,0.866575082,0.49
2793,USP8,1.049942836,0.6
2794,USP9X,1.150151252,0.7
2799,UXT,0.900128806,0.38
2800,VAC14,0.769877604,0.04
2802,VAMP3,0.771228801,0.84
2804,VAPA,0.810948044,0.77
2805,VARS,0.76279246,0.04
2806,VASP,0.68865208,0.03
2807,VAT1,0.94249411,0.37
2808,VCL,0.955186369,0.88
2809,VCP,0.543246435,0.17
2814,VIM,0.750869102,0.07
2816,VPS13A,1.011846651,0.72
2817,VPS13C,1.177811754,0.85
2819,VPS16,0.81256093,0.35
2820,VPS18,1.004502506,0.7
2821,VPS25,0.683440423,0.15
2829,VPS37B,0.867150116,0.02
2835,VPS51,0.711000621,0.04
2836,VPS52,0.957919311,0.07
2837,VPS53,0.54824336,0.02
2840,VWA5A,0.598821639,0.59
2844,WASF2,0.8414147,0.36
2846,"WASH1,WASH2P,WASH3P,WASH4P",1.015424918,0.25
2847,WASL,0.708884165,0.01
2859,WDR48,0.806300622,0.12
2860,WDR5,0.758415936,0.47
2867,WDR92,0.818050192,0.02
2869,WIBG,0.776081544,0.18
2871,WIPF3,0.600142779,0.16
2872,WNK1,0.772939522,0.06
2873,XIRP1,0.73964154,0.48
2876,XPO1,1.155394027,0.75
2880,XRCC5,0.804775489,0.03
2881,XRCC6,0.931406418,0.24
2882,XRN1,0.840404755,0.03
2884,YAF2,0.691932952,0.93
2888,YKT6,1.048314277,0.56
2894,YTHDF2,0.887760558,0.21
2895,YTHDF3,0.785394835,0.07
2896,YWHAB,0.869105351,0.48
2897,YWHAE,0.963968182,0.54
2898,YWHAG,0.849837382,0.01
2900,YWHAQ,0.863715906,0.28
2901,YWHAZ,1.123128115,0.24
2907,ZC3H4,0.62646952,0.02
2910,ZC3HAV1,0.759897098,0.19
2911,ZC3HAV1L,0.656056442,0.18
2918,ZFR,0.955021076,0.55
2919,ZFYVE1,1.138301892,0.65
2928,ZNF207,0.760588751,0.01
2932,ZNF598,0.932014782,0.21
2942,ZYX,0.746830892,0.01
2947,A0A494C067,0.835855624,0.09
2948,A0A5F9ZGX0,1.027080437,0.72
