,Gene Name,MeanLN_INS,P-valueLN_INSvsCON
465,CLASP2,0.940817251,0.2
468,CLIC1,0.77798635,0.21
469,CLIC4,0.853761787,0.7
470,CLIP1,0.893136596,0.26
471,CLIP2,0.845358692,0.25
477,CLTC,0.844621769,0.65
480,CMAS,0.641795644,0.02
485,CNN2,1.200716211,0.79
486,CNN3,0.830840897,0.08
487,CNOT1,1.049170117,0.71
488,CNOT10,0.861198561,0.29
490,CNOT2,1.436202966,0.21
491,CNOT3,0.883627273,0.3
494,CNOT7,0.804280725,0.47
496,CNP,0.771313281,0.05
511,COLGALT1,1.339712418,0.57
515,COMMD4,0.917956529,0.22
518,COMMD9,0.841172717,0.02
520,COPA,0.663118693,0.03
521,COPB1,1.072512186,0.82
522,COPB2,0.815947605,0.09
523,COPE,0.86296711,0.25
524,COPG1,0.931585371,0.36
527,COPS3,0.963783671,0.52
530,COPS6,0.842660629,0.99
532,COPS8,0.815198665,0.78
533,COPZ1,1.102275822,0.94
537,CORO1C,0.720421862,0.46
538,CORO6,1.015084985,0.45
539,"CORO7,CORO7-PAM16",0.778228925,0.97
542,CPSF6,0.879519467,0.09
543,CPSF7,0.686380994,0.01
545,CRBN,1.323753028,0.43
546,CRIP2,0.780718915,0.04
551,CRYAB,1.015757102,0.36
553,CRYZ,0.930928303,0.91
555,CS,0.969340986,0.37
556,CSDC2,1.302234927,0.77
558,CSE1L,0.727072105,0.14
563,CSRP1,0.877618294,0.01
564,CSRP2,0.717724363,0.01
565,CSRP3,0.808682698,0.01
567,CSTB,0.787548131,0.86
573,CTIF,0.73211581,0.32
574,CTNNA1,0.858084497,0.16
576,CTNND1,0.893785008,0.03
578,CTR9,0.87532299,0.69
581,CTSD,0.864634925,0.76
584,CTTN,0.671692786,0.01
586,CTTNBP2NL,0.805244286,0.01
589,CUL3,0.834264251,0.14
604,DAPK3,0.649296483,0.06
607,DBR1,0.651672702,0.18
611,DCLK1,0.906133295,0.09
612,DCLK2,0.897721955,0.38
616,"DCTN1,DKFZP686E0752",0.96866546,0.64
617,DCTN2,1.195986669,0.85
619,DCTN4,1.132600245,0.45
624,DDB1,0.841626268,0.02
626,DDX1,0.77458245,0.07
627,DDX17,0.823666996,0.02
629,DDX19A,1.240790082,0.69
631,DDX21,0.664781543,0.05
632,DDX24,0.643815563,0.12
635,DDX3X,0.812535429,0.03
636,DDX3Y,1.164319508,0.89
639,DDX47,0.676701781,0.06
640,DDX5,0.899182764,0.11
643,DDX6,0.747462257,0.01
644,DECR1,0.935058815,0.28
653,DES,0.780362199,0.07
655,DHX15,0.806119603,0.04
656,DHX16,0.881663786,0.05
657,DHX29,0.77379501,0.03
661,DHX38,1.081130872,0.3
662,DHX57,0.588157211,0.02
668,DIP2B,0.826911705,0.03
670,DIS3,0.680668824,0.18
672,DKC1,0.706957953,0.01
673,"DKFZP434B2017,SAR1B",0.937993301,0.65
674,"DKFZP564M2223,SRP9",0.691579735,0.04
677,"DKFZP779D0968,HSPB7",1.224603264,0.2
689,DNAJA1,0.920186484,0.95
690,DNAJA2,0.930814978,0.27
691,DNAJB1,0.694293215,0.03
693,DNAJB4,0.792425504,0.02
703,DNAJC8,0.87914124,0.11
704,DNAJC9,0.853976214,0.06
705,DNM2,0.829552996,0.06
708,DOCK1,1.518237271,0.7
710,DOCK11,1.603933658,0.79
712,DOCK6,0.806114579,0.23
713,DOCK7,0.805168636,0.06
715,DPYSL2,1.275930375,0.89
718,DRG1,0.750421797,0.02
724,DST,0.95946392,0.62
725,DSTN,1.165560692,0.82
731,DUSP27,1.166216682,0.5
735,DYNC1H1,0.807292072,0.02
737,DYNC1I2,0.755887032,0.01
738,DYNC1LI1,0.753071804,0.01
739,DYNC1LI2,0.48456011,0.01
740,DYNLL1,0.926203769,0.88
742,DYNLRB1,0.945524422,0.18
743,DYNLT1,0.754325026,0.07
744,DYNLT3,0.881172285,0.52
749,ECHDC1,1.136243369,0.25
753,EDC4,0.851230286,0.31
754,EDF1,0.750990936,0.01
755,EEA1,0.617248974,0.18
756,"EEF1A1,EEF1A1P5",0.830314279,0.06
757,EEF1A2,0.85131663,0.1
758,EEF1B2,0.735438896,0.03
759,EEF1D,0.752969282,0.01
760,EEF1G,0.702041145,0.01
761,EEF2,0.836721391,0.09
763,EFHD2,0.724613428,0.05
768,EHBP1L1,1.018057792,0.89
769,EHD1,1.021711285,0.51
770,EHD2,0.969929151,0.44
772,EHD4,1.038889364,0.58
774,EIF1AY,0.781234608,0.08
776,EIF2AK2,0.858197152,0.11
782,EIF2S1,0.731609355,0.01
784,"EIF2S3,EIF2S3L",0.724031141,0.04
785,EIF3A,0.837095835,0.01
786,EIF3B,0.747625839,0.01
787,"EIF3C,EIF3CL",0.877640947,0.02
788,EIF3D,0.973164771,0.47
789,EIF3E,0.886921017,0.07
790,EIF3F,1.030371404,0.93
791,EIF3G,0.767707573,0.01
792,EIF3H,0.919920544,0.3
793,EIF3I,0.838492225,0.01
794,EIF3J,0.722633591,0.24
796,EIF3L,0.854441521,0.17
797,EIF3M,0.744391528,0.02
798,EIF4A1,0.816807959,0.17
799,EIF4A2,0.775160401,0.19
800,EIF4A3,0.698321376,0.47
801,EIF4E,0.899850014,0.36
802,EIF4E2,0.774091422,0.16
804,EIF4G1,0.840271728,0.03
805,EIF4G2,0.732295384,0.01
806,EIF4G3,1.01874439,0.3
807,EIF4H,0.757921446,0.03
808,EIF5A,0.856714125,0.1
