Gene Name,MeanLN_INS,P-valueLN_INSvsCON,FC,logP
AP3M1,1.055115242,0.97,0.0774005818537704,0.01322826573375516
AP3S1,0.889097812,0.59,-0.16958595240717197,0.22914798835785583
APEX1,0.752990306,0.03,-0.40929680313192585,1.5228787452803376
API5,0.981796703,0.36,-0.026503772931350148,0.44369749923271273
APOBEC2,1.096177478,0.79,0.13248139857359612,0.10237290870955855
APOBEC3C,0.698270819,0.13,-0.5181414116735129,0.8860566476931632
ARCN1,0.987959473,0.81,-0.01747623253197742,0.09151498112135022
"ARF1,ARF3",0.966881569,0.53,-0.04858890661240664,0.27572413039921095
ARF4,0.978609769,0.44,-0.03119441030002951,0.3565473235138126
ARF5,0.972569503,0.58,-0.04012674139473123,0.23657200643706275
ARF6,1.066283233,0.44,0.09259070692422722,0.3565473235138126
ARFGAP2,0.894740756,0.25,-0.16045836134975364,0.6020599913279624
ARFGAP3,1.060565373,0.9,0.08483355099211096,0.045757490560675115
ARHGAP1,0.847172988,0.09,-0.23927150496659813,1.0457574905606752
ARHGAP12,1.10636316,0.67,0.14582502312474313,0.17392519729917355
ARHGDIA,0.940338546,0.49,-0.08874783734906579,0.3098039199714863
ARHGEF17,0.93200128,0.3,-0.10159615862542021,0.5228787452803376
ARHGEF2,0.724863768,0.01,-0.46421821658569723,2.0
ARHGEF6,0.820030403,0.04,-0.28625069559052946,1.3979400086720375
ARHGEF7,0.853374427,0.04,-0.22874921682206129,1.3979400086720375
ARL1,0.924286614,0.61,-0.11358780549840777,0.21467016498923297
ARL8A,1.033078426,0.31,0.046949780346711656,0.5086383061657274
ARL8B,1.053036869,0.97,0.07455594898689012,0.01322826573375516
ARPC1A,0.732014347,0.01,-0.4500561702265236,2.0
ARPC1B,0.934367783,0.01,-0.09793756393508532,2.0
ARPC2,0.816852039,0.01,-0.2918533163115296,2.0
ARPC3,0.78359914,0.04,-0.3518122806386976,1.3979400086720375
"ARPC4,ARPC4-TTLL3",0.769219438,0.03,-0.3785328751738262,1.5228787452803376
ARPC5,0.660162794,0.06,-0.5991062626344669,1.2218487496163564
ARPC5L,0.702798774,0.03,-0.508816420253741,1.5228787452803376
ASAP1,0.754059873,0.02,-0.40724901562309157,1.6989700043360187
ASAP2,0.878891487,0.47,-0.18624304195432376,0.3279021420642826
ASCC2,1.017799552,0.29,0.025453461403657413,0.5376020021010439
ASCC3,0.739585039,0.32,-0.43521205399979274,0.494850021680094
ASNA1,1.119765989,0.64,0.16319726640465826,0.1938200260161128
ATP1A1,1.082239245,0.57,0.11401946350959985,0.24412514432750865
ATP5A1,0.815065565,0.75,-0.29501197849362665,0.12493873660829995
ATP5B,0.536986452,0.98,-0.897042404961548,0.00877392430750515
ATP6V1B2,0.851647664,0.43,-0.2316713998034435,0.36653154442041347
ATXN10,0.739144949,0.63,-0.4360707850520374,0.2006594505464183
ATXN2,0.966657487,0.32,-0.048923300676593395,0.494850021680094
ATXN2L,0.857905781,0.06,-0.22110888160072473,1.2218487496163564
BAG3,0.689347206,0.11,-0.5366972814715709,0.958607314841775
"BAG6,BAT3",0.945159808,0.31,-0.08136981347227996,0.5086383061657274
BASP1,1.415973234,0.63,0.5017939945590237,0.2006594505464183
BAX,1.038221041,0.82,0.0541136313693993,0.08618614761628333
BCAR1,0.673240888,0.58,-0.5708052962297409,0.23657200643706275
BCAS1,0.963255807,0.48,-0.054009116670743845,0.3187587626244128
BCAS3,1.025748491,0.51,0.03667703185324312,0.2924298239020636
BID,0.939610034,0.49,-0.0898659750613627,0.3098039199714863
BIN3,0.855894878,0.21,-0.22449448085576879,0.6777807052660807
BTF3L4,0.790057046,0.07,-0.3399712681672425,1.154901959985743
BUB3,0.816535967,0.15,-0.29241165947430603,0.8239087409443188
BZW1,0.917930693,0.13,-0.12354286569257067,0.8860566476931632
BZW2,0.918784632,0.18,-0.1222013691280026,0.744727494896694
C14ORF166,0.800296815,0.09,-0.3213929272491366,1.0457574905606752
C1ORF198,0.835320455,0.05,-0.25959832826113116,1.3010299956639813
"C4A,C4B",1.108981081,0.45,0.1492347536147759,0.3467874862246563
C8ORF33,0.870928716,0.27,-0.199373453309906,0.5686362358410126
CACYBP,1.020692383,0.31,0.029548131260099746,0.5086383061657274
CAD,0.885615775,0.37,-0.17524717458409386,0.431798275933005
"CALM1,CALM2,CALM3",1.213024449,0.23,0.27860862885544463,0.638272163982407
CAMK2D,0.820434844,0.05,-0.28553933027764505,1.3010299956639813
